,validity_duration,nb_lines,nb_chars,nb_requirements,nb_selection_steps,nb_line_scale,nb_char_scale,Resp_level,Open_To_All,exp_years,high_education,full_time_part_time_code,to_male
0,11,89,9186,1.0,2.0,2,1,3,1,2.0,0,2,0
1,13,80,8166,1.0,2.0,1,1,4,0,3.0,0,2,1
2,13,76,7385,1.0,1.0,1,1,4,0,2.0,0,2,0
6,13,107,11795,1.0,2.0,2,3,3,1,3.0,0,2,0
7,13,91,12459,3.0,1.0,2,3,3,1,2.0,1,2,1
8,13,106,12484,2.0,1.0,2,3,3,1,2.0,1,2,1
9,13,84,10525,1.0,2.0,1,1,3,0,2.0,0,2,1
10,13,68,6454,3.0,1.0,1,0,3,1,4.0,0,2,1
12,13,80,8036,1.0,2.0,1,1,5,0,2.0,0,2,1
13,13,87,10655,4.0,1.0,2,1,5,1,3.0,0,2,1
14,13,86,11083,2.0,1.0,2,3,5,1,2.0,1,2,0
16,13,82,8414,2.0,0.0,1,1,2,1,2.0,1,2,0
17,13,85,10650,3.0,2.0,2,1,4,1,2.0,0,2,1
18,13,89,10560,2.0,1.0,2,1,4,1,2.0,1,2,1
19,13,70,6455,1.0,1.0,1,0,4,0,2.0,0,2,0
20,13,76,9572,2.0,1.0,1,1,4,0,4.0,0,2,1
21,13,80,9354,2.0,1.0,1,1,4,0,3.0,1,2,0
22,13,78,10644,2.0,1.0,1,1,4,0,2.0,0,2,1
23,13,94,9889,2.0,0.0,2,1,4,1,2.0,1,2,1
24,13,81,8085,2.0,0.0,1,1,4,0,2.0,1,2,1
25,309,92,11223,2.0,1.0,2,3,4,1,4.0,1,2,0
26,13,67,6645,2.0,1.0,1,0,4,1,2.0,0,2,1
27,13,96,11227,5.0,0.0,2,3,4,1,2.0,1,2,1
28,13,88,9755,2.0,2.0,2,1,4,0,2.0,0,2,0
29,13,85,12276,5.0,2.0,2,3,4,0,2.0,0,2,0
30,13,79,7517,1.0,2.0,1,1,4,0,2.0,0,2,1
31,13,77,7997,2.0,2.0,1,1,4,1,3.0,1,2,1
32,13,82,10040,2.0,1.0,1,1,4,1,2.0,0,2,1
33,13,72,11094,2.0,1.0,1,3,4,1,2.0,1,2,1
34,13,107,11667,1.0,2.0,2,3,4,0,2.0,0,2,1
35,13,119,13543,2.0,1.0,3,4,4,1,3.0,1,2,1
36,13,89,12178,3.0,1.0,2,3,4,1,3.0,1,2,1
37,13,72,6430,1.0,0.0,1,0,4,1,2.0,0,2,0
38,13,75,7914,1.0,2.0,1,1,3,0,2.0,0,2,1
39,13,78,9041,1.0,2.0,1,1,3,0,2.0,0,2,1
40,13,88,8535,1.0,1.0,2,1,3,0,4.0,0,2,1
41,13,95,12761,1.0,1.0,2,3,3,0,4.0,0,2,1
42,13,72,7402,3.0,2.0,1,1,3,1,2.0,0,2,1
43,13,76,5998,1.0,1.0,1,0,3,0,4.0,0,2,1
44,13,84,9443,2.0,1.0,1,1,3,0,2.0,1,2,1
45,13,77,9079,2.0,2.0,1,1,3,0,2.0,0,2,1
47,20,90,10796,1.0,1.0,2,1,3,0,2.0,1,2,1
48,13,93,9568,1.0,3.0,2,1,3,0,4.0,0,2,1
50,20,75,8270,1.0,1.0,1,1,3,0,3.0,0,2,1
51,13,89,10539,1.0,3.0,2,1,3,0,4.0,0,2,1
52,13,82,8850,2.0,2.0,1,1,3,0,2.0,0,2,1
53,13,82,8949,1.0,2.0,1,1,3,0,2.0,0,2,1
54,13,68,5410,1.0,0.0,1,0,3,1,4.0,0,2,1
55,13,77,10348,2.0,0.0,1,1,3,0,2.0,0,2,1
56,13,88,8673,1.0,2.0,2,1,3,0,3.0,0,2,1
57,13,76,8347,1.0,2.0,1,1,3,0,4.0,0,2,1
58,13,71,7437,1.0,1.0,1,1,3,0,3.0,0,2,1
59,13,83,8487,2.0,2.0,1,1,3,0,2.0,0,2,1
60,13,91,9474,1.0,1.0,2,1,3,0,2.0,0,2,0
61,13,81,7297,1.0,1.0,1,1,3,0,2.0,0,2,1
62,13,92,11741,2.0,1.0,2,3,2,1,2.0,0,2,1
64,13,96,13864,3.0,1.0,2,4,4,1,2.0,0,2,1
65,435,95,11310,1.0,3.0,2,3,0,0,1.0,0,2,0
66,64,129,14423,4.0,1.0,3,4,2,1,1.0,0,2,1
67,13,75,7836,1.0,0.0,1,1,0,0,2.0,0,2,1
68,14,77,9281,2.0,1.0,1,1,0,1,5.0,0,2,1
69,20,87,10609,2.0,1.0,2,1,3,0,2.0,0,2,1
70,13,78,8506,1.0,0.0,1,1,0,0,2.0,0,2,1
71,13,92,11637,2.0,2.0,2,3,5,1,2.0,1,2,1
72,13,77,8129,1.0,1.0,1,1,0,0,2.0,0,2,1
73,13,74,8163,2.0,2.0,1,1,3,0,2.0,0,2,1
74,20,83,8465,1.0,1.0,1,1,3,1,4.0,0,2,1
75,13,72,9781,3.0,1.0,1,1,5,1,1.0,0,2,1
76,20,80,6975,1.0,1.0,1,0,0,0,2.0,0,2,1
77,58,130,19759,4.0,1.0,4,4,0,1,1.0,0,2,1
78,13,85,9992,2.0,2.0,2,1,0,0,3.0,0,2,1
79,13,85,9992,2.0,2.0,2,1,0,0,3.0,0,2,1
80,13,81,8621,1.0,1.0,1,1,0,1,2.0,0,2,1
81,20,82,6840,1.0,0.0,1,0,0,0,2.0,0,2,1
82,13,82,9203,2.0,1.0,1,1,0,1,1.0,0,2,0
83,13,86,10448,2.0,2.0,2,1,3,0,2.0,0,2,1
85,13,83,9431,1.0,2.0,1,1,0,0,2.0,0,2,0
86,13,72,5679,1.0,1.0,1,0,0,1,2.0,0,2,0
88,13,89,10841,2.0,1.0,2,1,0,1,2.0,0,2,1
89,13,97,11288,2.0,0.0,2,3,0,1,4.0,0,2,1
90,13,82,10162,3.0,1.0,1,1,0,1,3.0,0,2,1
94,435,94,10712,2.0,1.0,2,1,0,1,1.0,0,2,1
95,13,84,9006,3.0,1.0,1,1,0,0,2.0,0,2,0
96,13,80,9386,1.0,2.0,1,1,0,0,2.0,0,2,0
97,13,85,10016,1.0,2.0,2,1,0,0,1.0,0,2,0
98,13,80,10015,1.0,3.0,1,1,5,0,2.0,0,2,1
99,13,85,8252,1.0,1.0,2,1,3,0,2.0,0,2,1
100,13,89,9551,2.0,2.0,2,1,0,0,3.0,0,2,1
101,13,65,5050,2.0,1.0,1,0,0,1,2.0,0,2,1
102,13,81,9072,1.0,2.0,1,1,0,0,2.0,0,2,1
103,13,98,10337,2.0,1.0,2,1,0,0,2.0,0,2,1
104,13,83,7728,2.0,1.0,1,1,3,0,2.0,0,2,1
105,13,173,13361,1.0,2.0,5,4,0,0,2.0,0,2,1
106,13,80,7375,1.0,1.0,1,1,3,0,4.0,0,2,1
107,13,74,7268,1.0,1.0,1,1,0,0,3.0,0,2,1
108,13,76,8431,1.0,1.0,1,1,0,1,3.0,0,2,1
109,13,76,7866,1.0,2.0,1,1,3,0,2.0,0,2,1
110,71,99,13090,3.0,1.0,2,4,0,1,2.0,0,2,1
111,13,86,9770,2.0,1.0,2,1,0,1,5.0,0,2,1
112,20,91,12186,1.0,1.0,2,3,0,1,2.0,0,2,0
113,20,74,8212,1.0,0.0,1,1,0,1,2.0,0,2,1
114,13,81,8230,1.0,1.0,1,1,0,0,2.0,0,2,1
115,13,81,8100,1.0,2.0,1,1,0,0,2.0,0,2,0
117,78,98,12122,1.0,0.0,2,3,0,1,2.0,0,2,1
118,13,83,9277,2.0,2.0,1,1,3,0,2.0,0,2,1
120,13,86,7564,3.0,2.0,2,1,0,1,4.0,0,2,1
122,13,89,9677,2.0,1.0,2,1,0,1,1.0,0,2,1
123,13,79,8190,1.0,2.0,1,1,3,0,4.0,0,2,1
124,13,90,11312,1.0,1.0,2,3,5,1,2.0,0,2,0
126,13,82,7910,2.0,1.0,1,1,0,1,2.0,0,2,0
127,13,70,6776,3.0,0.0,1,0,4,1,2.0,0,2,0
130,13,90,9792,1.0,1.0,2,1,2,0,2.0,0,2,1
131,13,88,12073,2.0,0.0,2,3,0,1,6.0,0,2,1
133,13,96,11132,2.0,2.0,2,3,0,1,2.0,0,2,1
134,13,81,8349,1.0,2.0,1,1,0,0,2.0,0,2,1
135,13,76,8215,2.0,1.0,1,1,0,1,3.0,1,2,1
136,13,94,10284,2.0,2.0,2,1,0,1,1.0,1,2,0
137,13,92,10023,1.0,1.0,2,1,0,1,2.0,1,2,0
138,20,81,10379,3.0,0.0,1,1,0,0,1.0,0,2,1
139,13,99,13726,3.0,1.0,2,4,0,1,2.0,1,2,0
140,13,89,11082,2.0,1.0,2,3,0,1,7.0,0,2,1
141,13,93,12146,3.0,2.0,2,3,0,1,1.0,0,2,0
145,13,88,11029,3.0,1.0,2,3,0,1,5.0,0,2,1
146,13,88,10992,2.0,2.0,2,1,4,1,2.0,0,2,1
147,13,112,13059,3.0,2.0,3,4,0,1,2.0,0,2,1
148,13,81,7412,3.0,3.0,1,1,0,0,2.0,0,2,1
151,20,87,9057,1.0,1.0,2,1,3,1,4.0,0,2,1
152,13,100,11013,2.0,1.0,2,3,0,1,2.0,1,2,1
153,883,96,9637,2.0,1.0,2,1,3,1,1.0,0,2,1
154,20,124,16782,2.0,3.0,3,4,0,1,2.0,0,2,1
155,13,78,10807,1.0,1.0,1,1,3,0,2.0,0,2,1
156,13,100,15261,3.0,0.0,2,4,0,1,2.0,1,2,1
157,13,72,7058,2.0,1.0,1,1,0,1,1.0,0,2,1
159,20,115,10828,2.0,2.0,3,1,3,0,2.0,0,2,1
161,13,92,11293,2.0,3.0,2,3,2,1,3.0,1,2,1
162,13,107,11533,1.0,2.0,2,3,0,1,2.0,1,2,1
163,13,86,10685,4.0,0.0,2,1,0,1,3.0,0,2,1
164,13,74,7455,1.0,2.0,1,1,0,1,4.0,0,2,0
165,24,98,13053,3.0,2.0,2,4,0,1,1.0,1,2,0
166,24,98,13053,3.0,2.0,2,4,0,1,1.0,1,2,0
167,239,101,11984,6.0,1.0,2,3,3,1,1.0,0,2,1
168,13,108,14518,2.0,1.0,2,4,0,1,2.0,0,2,1
169,13,97,12614,3.0,1.0,2,3,0,1,2.0,1,2,1
